pgn,white,black,result,moves,white_acpl,black_acpl,white_accuracy,black_accuracy,white_best_pct,black_best_pct,white_inacc,white_mistakes,white_blunders,black_inacc,black_mistakes,black_blunders
AB_vs_STOCKFISH.pgn,AB,STOCKFISH,1/2-1/2,2,11.0,21.0,94.8,90.5,0.0,0.0,0,0,0,0,0,0
AB_vs_STOCKFISH.pgn,AB,STOCKFISH,1/2-1/2,2,164.0,59.0,54.9,77.2,0.0,0.0,0,1,0,1,0,0
AB_vs_STOCKFISH.pgn,AB,STOCKFISH,1/2-1/2,2,143.0,105.0,58.3,65.6,0.0,0.0,0,1,0,0,1,0
AB_vs_STOCKFISH.pgn,AB,STOCKFISH,1/2-1/2,2,60.0,165.0,76.9,54.8,0.0,0.0,1,0,0,0,1,0
AB_vs_STOCKFISH.pgn,AB,STOCKFISH,1/2-1/2,2,69.0,111.0,74.3,64.3,0.0,0.0,1,0,0,0,1,0
STOCKFISH_vs_AB.pgn,STOCKFISH,AB,1/2-1/2,3,122.0,88.0,63.1,69.4,0.0,0.0,1,1,0,1,0,0
STOCKFISH_vs_AB.pgn,STOCKFISH,AB,1/2-1/2,3,119.0,147.0,63.3,57.6,0.0,0.0,1,1,0,0,1,0
STOCKFISH_vs_AB.pgn,STOCKFISH,AB,1/2-1/2,3,72.0,135.0,73.5,59.7,0.0,0.0,2,0,0,0,1,0
STOCKFISH_vs_AB.pgn,STOCKFISH,AB,1/2-1/2,3,13.5,95.0,93.7,67.8,0.0,0.0,0,0,0,1,0,0
STOCKFISH_vs_AB.pgn,STOCKFISH,AB,1/2-1/2,3,7.5,13.0,96.5,93.9,50.0,0.0,0,0,0,0,0,0
STOCKFISH_vs_AB.pgn,STOCKFISH,AB,1/2-1/2,3,17.0,85.0,92.3,70.2,50.0,0.0,0,0,0,1,0,0
STOCKFISH_vs_AB.pgn,STOCKFISH,AB,1/2-1/2,3,54.5,41.0,82.1,83.0,0.0,0.0,0,1,0,0,0,0
STOCKFISH_vs_AB.pgn,STOCKFISH,AB,1/2-1/2,3,34.0,45.0,87.3,81.6,0.0,0.0,1,0,0,0,0,0
STOCKFISH_vs_AB.pgn,STOCKFISH,AB,1/2-1/2,3,82.5,125.0,75.6,61.5,50.0,0.0,0,1,0,0,1,0
