pgn,white,black,result,moves,white_acpl,black_acpl,white_accuracy,black_accuracy,white_best_pct,black_best_pct,white_inacc,white_mistakes,white_blunders,black_inacc,black_mistakes,black_blunders
UCB_vs_STOCKFISH.pgn,UCB,STOCKFISH,0-1,26,7736.9,15439.8,67.6,77.3,23.1,30.8,3,2,3,3,0,2
UCB_vs_STOCKFISH.pgn,UCB,STOCKFISH,0-1,44,176.2,136.3,60.7,69.5,18.2,18.2,4,8,6,4,1,8
UCB_vs_STOCKFISH.pgn,UCB,STOCKFISH,0-1,18,171.4,79.0,61.0,78.0,0.0,22.2,1,2,4,0,1,2
UCB_vs_STOCKFISH.pgn,UCB,STOCKFISH,0-1,24,170.8,102.0,60.8,72.0,8.3,16.7,3,3,4,1,4,2
UCB_vs_STOCKFISH.pgn,UCB,STOCKFISH,0-1,30,124.3,43.5,67.4,84.4,0.0,20.0,4,5,2,5,1,0
UCB_vs_STOCKFISH.pgn,UCB,STOCKFISH,0-1,14,161.9,37.4,66.8,85.6,0.0,14.3,1,1,2,3,0,0
UCB_vs_STOCKFISH.pgn,UCB,STOCKFISH,0-1,40,103.4,65.2,71.5,81.1,15.0,10.0,8,4,2,2,3,2
UCB_vs_STOCKFISH.pgn,UCB,STOCKFISH,0-1,26,7643.7,15405.2,71.1,85.1,23.1,53.8,3,3,2,1,1,1
UCB_vs_STOCKFISH.pgn,UCB,STOCKFISH,0-1,12,134.3,26.3,73.5,89.2,16.7,66.7,2,0,1,1,0,0
UCB_vs_STOCKFISH.pgn,UCB,STOCKFISH,0-1,16,141.9,46.8,67.2,82.6,12.5,37.5,3,2,1,2,1,0
STOCKFISH_vs_UCB.pgn,STOCKFISH,UCB,1-0,75,87.2,2789.9,74.3,65.6,18.4,5.4,14,6,4,11,12,6
STOCKFISH_vs_UCB.pgn,STOCKFISH,UCB,1-0,27,21490.2,15436.6,61.7,51.1,28.6,15.4,0,2,5,3,2,6
STOCKFISH_vs_UCB.pgn,STOCKFISH,UCB,1-0,31,79.4,107.6,75.7,70.3,25.0,13.3,4,4,1,4,5,2
STOCKFISH_vs_UCB.pgn,STOCKFISH,UCB,1-0,15,29.6,114.6,88.6,70.2,37.5,14.3,2,0,0,3,1,1
STOCKFISH_vs_UCB.pgn,STOCKFISH,UCB,1-0,21,91.1,183.8,74.0,57.0,36.4,0.0,1,4,1,2,2,5
STOCKFISH_vs_UCB.pgn,STOCKFISH,UCB,1-0,9,23.8,215.0,90.2,66.0,40.0,0.0,1,0,0,2,0,1
STOCKFISH_vs_UCB.pgn,STOCKFISH,UCB,1-0,49,70.5,119.1,77.4,67.2,20.0,4.2,6,6,1,6,10,3
STOCKFISH_vs_UCB.pgn,STOCKFISH,UCB,1-0,21,18226.7,10045.4,76.9,63.1,45.5,20.0,1,2,1,1,3,3
STOCKFISH_vs_UCB.pgn,STOCKFISH,UCB,1-0,27,62.9,116.1,80.1,68.8,14.3,0.0,2,2,1,2,2,4
STOCKFISH_vs_UCB.pgn,STOCKFISH,UCB,1-0,27,28555.7,23065.5,58.6,47.2,35.7,0.0,3,1,5,2,2,6
UCB_vs_STOCKFISH.pgn,UCB,STOCKFISH,0-1,16,136.8,42.2,70.7,84.1,12.5,50.0,2,2,1,3,0,0
UCB_vs_STOCKFISH.pgn,UCB,STOCKFISH,0-1,32,133.3,67.4,67.2,78.4,0.0,12.5,4,7,2,5,3,1
UCB_vs_STOCKFISH.pgn,UCB,STOCKFISH,0-1,34,92.2,45.5,73.8,84.0,5.9,29.4,8,2,2,5,0,1
UCB_vs_STOCKFISH.pgn,UCB,STOCKFISH,0-1,22,153.4,53.2,62.2,82.3,9.1,27.3,2,5,2,2,3,0
UCB_vs_STOCKFISH.pgn,UCB,STOCKFISH,0-1,14,139.4,42.6,68.4,84.0,0.0,28.6,1,1,2,2,1,0
UCB_vs_STOCKFISH.pgn,UCB,STOCKFISH,0-1,16,144.8,76.6,69.5,79.3,12.5,25.0,1,2,2,1,1,1
UCB_vs_STOCKFISH.pgn,UCB,STOCKFISH,0-1,26,146.1,53.8,65.4,80.7,15.4,15.4,4,3,3,6,1,0
UCB_vs_STOCKFISH.pgn,UCB,STOCKFISH,0-1,36,5636.8,11183.8,63.6,74.7,16.7,16.7,2,5,6,0,3,4
UCB_vs_STOCKFISH.pgn,UCB,STOCKFISH,0-1,22,149.2,66.7,65.9,81.7,0.0,0.0,4,2,2,1,1,1
UCB_vs_STOCKFISH.pgn,UCB,STOCKFISH,0-1,20,168.7,100.4,58.0,76.0,0.0,40.0,2,3,4,2,1,2
STOCKFISH_vs_UCB.pgn,STOCKFISH,UCB,1-0,69,5805.1,3029.7,72.6,66.7,17.1,17.6,7,8,6,8,6,10
