pgn,game_id,ply,side,san,best_san,loss_cp,class,accuracy
AB_vs_STOCKFISH.pgn,0,0,W,d3,e4,40,ok,83.3
AB_vs_STOCKFISH.pgn,0,1,B,e6,d5,12,ok,94.3
AB_vs_STOCKFISH.pgn,1,0,W,b4,e4,104,mistake,65.8
AB_vs_STOCKFISH.pgn,1,1,B,Nc6,e5,50,inaccuracy,80.0
AB_vs_STOCKFISH.pgn,2,0,W,f4,e4,99,inaccuracy,66.9
AB_vs_STOCKFISH.pgn,2,1,B,e6,d5,0,ok,100.0
AB_vs_STOCKFISH.pgn,3,0,W,a4,e4,68,inaccuracy,74.6
AB_vs_STOCKFISH.pgn,3,1,B,d5,e5,55,inaccuracy,78.4
AB_vs_STOCKFISH.pgn,4,0,W,h4,e4,98,inaccuracy,67.1
AB_vs_STOCKFISH.pgn,4,1,B,Nc6,d5,38,ok,84.0
AB_vs_STOCKFISH.pgn,5,0,W,a3,e4,74,inaccuracy,73.0
AB_vs_STOCKFISH.pgn,5,1,B,f5,e5,75,inaccuracy,72.7
AB_vs_STOCKFISH.pgn,6,0,W,Nf3,e4,31,ok,86.6
AB_vs_STOCKFISH.pgn,6,1,B,f6,Nf6,146,mistake,57.8
AB_vs_STOCKFISH.pgn,7,0,W,g3,Nf3,53,inaccuracy,79.1
AB_vs_STOCKFISH.pgn,7,1,B,Nf6,e5,42,ok,82.6
AB_vs_STOCKFISH.pgn,8,0,W,c3,e4,48,ok,80.6
AB_vs_STOCKFISH.pgn,8,1,B,c6,e5,63,inaccuracy,76.0
AB_vs_STOCKFISH.pgn,9,0,W,f4,e4,53,inaccuracy,79.1
AB_vs_STOCKFISH.pgn,9,1,B,Nf6,e6,21,ok,90.5
STOCKFISH_vs_AB.pgn,10,0,W,e4,e4,0,ok,100.0
STOCKFISH_vs_AB.pgn,10,1,B,c5,e5,3,ok,98.5
STOCKFISH_vs_AB.pgn,10,2,W,Bc4,Nf3,11,ok,94.8
STOCKFISH_vs_AB.pgn,11,0,W,e3,e4,19,ok,91.3
STOCKFISH_vs_AB.pgn,11,1,B,a6,e6,14,ok,93.5
STOCKFISH_vs_AB.pgn,11,2,W,c4,Nf3,1,ok,99.5
STOCKFISH_vs_AB.pgn,12,0,W,h4,e4,72,inaccuracy,73.5
STOCKFISH_vs_AB.pgn,12,1,B,a6,e5,89,inaccuracy,69.2
STOCKFISH_vs_AB.pgn,12,2,W,e4,d4,43,ok,82.3
STOCKFISH_vs_AB.pgn,13,0,W,d4,e4,27,ok,88.1
STOCKFISH_vs_AB.pgn,13,1,B,b6,d5,101,mistake,66.4
STOCKFISH_vs_AB.pgn,13,2,W,e4,e4,0,ok,100.0
STOCKFISH_vs_AB.pgn,14,0,W,a3,e4,67,inaccuracy,74.9
STOCKFISH_vs_AB.pgn,14,1,B,g6,e5,49,ok,80.3
STOCKFISH_vs_AB.pgn,14,2,W,Nc3,Nf3,28,ok,87.7
STOCKFISH_vs_AB.pgn,15,0,W,Nh3,e4,100,mistake,66.7
STOCKFISH_vs_AB.pgn,15,1,B,a5,d5,33,ok,85.8
STOCKFISH_vs_AB.pgn,15,2,W,Nc3,c4,33,ok,85.8
STOCKFISH_vs_AB.pgn,16,0,W,Nf3,e4,21,ok,90.5
STOCKFISH_vs_AB.pgn,16,1,B,c5,d5,10,ok,95.2
STOCKFISH_vs_AB.pgn,16,2,W,c4,Nc3,27,ok,88.1
STOCKFISH_vs_AB.pgn,17,0,W,e3,e4,27,ok,88.1
STOCKFISH_vs_AB.pgn,17,1,B,g6,d5,12,ok,94.3
STOCKFISH_vs_AB.pgn,17,2,W,Be2,d4,0,ok,100.0
STOCKFISH_vs_AB.pgn,18,0,W,b3,e4,79,inaccuracy,71.7
STOCKFISH_vs_AB.pgn,18,1,B,f6,e5,105,mistake,65.6
STOCKFISH_vs_AB.pgn,18,2,W,d4,e4,46,ok,81.3
STOCKFISH_vs_AB.pgn,19,0,W,Na3,e4,110,mistake,64.5
STOCKFISH_vs_AB.pgn,19,1,B,b6,e5,60,inaccuracy,76.9
STOCKFISH_vs_AB.pgn,19,2,W,d4,b3,0,ok,100.0
AB_vs_STOCKFISH.pgn,20,0,W,h3,e4,95,inaccuracy,67.8
AB_vs_STOCKFISH.pgn,20,1,B,a5,e5,65,inaccuracy,75.5
AB_vs_STOCKFISH.pgn,21,0,W,d3,e4,54,inaccuracy,78.7
AB_vs_STOCKFISH.pgn,21,1,B,f6,d5,76,inaccuracy,72.5
AB_vs_STOCKFISH.pgn,22,0,W,f4,e4,65,inaccuracy,75.5
AB_vs_STOCKFISH.pgn,22,1,B,Na6,d5,75,inaccuracy,72.7
AB_vs_STOCKFISH.pgn,23,0,W,d4,e4,4,ok,98.0
AB_vs_STOCKFISH.pgn,23,1,B,b5,Nf6,76,inaccuracy,72.5
AB_vs_STOCKFISH.pgn,24,0,W,b3,e4,70,inaccuracy,74.1
AB_vs_STOCKFISH.pgn,24,1,B,Nh6,e5,98,inaccuracy,67.1
AB_vs_STOCKFISH.pgn,25,0,W,g3,e4,42,ok,82.6
AB_vs_STOCKFISH.pgn,25,1,B,d5,e5,32,ok,86.2
AB_vs_STOCKFISH.pgn,26,0,W,f3,e4,93,inaccuracy,68.3
AB_vs_STOCKFISH.pgn,26,1,B,b5,c5,129,mistake,60.8
AB_vs_STOCKFISH.pgn,27,0,W,c3,e4,36,ok,84.7
AB_vs_STOCKFISH.pgn,27,1,B,f6,e5,98,inaccuracy,67.1
AB_vs_STOCKFISH.pgn,28,0,W,g3,e4,45,ok,81.6
AB_vs_STOCKFISH.pgn,28,1,B,d5,e5,38,ok,84.0
AB_vs_STOCKFISH.pgn,29,0,W,b4,e4,70,inaccuracy,74.1
AB_vs_STOCKFISH.pgn,29,1,B,b5,e5,70,inaccuracy,74.1
STOCKFISH_vs_AB.pgn,30,0,W,g3,e4,30,ok,87.0
STOCKFISH_vs_AB.pgn,30,1,B,d6,d5,32,ok,86.2
STOCKFISH_vs_AB.pgn,30,2,W,e4,d4,43,ok,82.3
STOCKFISH_vs_AB.pgn,31,0,W,b3,e4,64,inaccuracy,75.8
STOCKFISH_vs_AB.pgn,31,1,B,Nf6,e5,37,ok,84.4
STOCKFISH_vs_AB.pgn,31,2,W,Bb2,Bb2,0,ok,100.0
STOCKFISH_vs_AB.pgn,32,0,W,Nh3,e4,99,inaccuracy,66.9
STOCKFISH_vs_AB.pgn,32,1,B,d6,e5,34,ok,85.5
STOCKFISH_vs_AB.pgn,32,2,W,g3,d4,4,ok,98.0
STOCKFISH_vs_AB.pgn,33,0,W,h3,e4,62,inaccuracy,76.3
STOCKFISH_vs_AB.pgn,33,1,B,d5,e5,31,ok,86.6
STOCKFISH_vs_AB.pgn,33,2,W,Nf3,Nf3,0,ok,100.0
STOCKFISH_vs_AB.pgn,34,0,W,Nc3,e4,22,ok,90.1
STOCKFISH_vs_AB.pgn,34,1,B,d5,d5,0,ok,100.0
STOCKFISH_vs_AB.pgn,34,2,W,Nf3,d4,61,inaccuracy,76.6
STOCKFISH_vs_AB.pgn,35,0,W,g4,e4,163,mistake,55.1
STOCKFISH_vs_AB.pgn,35,1,B,d5,d5,8,ok,96.2
STOCKFISH_vs_AB.pgn,35,2,W,g5,h3,7,ok,96.6
STOCKFISH_vs_AB.pgn,36,0,W,d3,e4,69,inaccuracy,74.3
STOCKFISH_vs_AB.pgn,36,1,B,a6,d5,62,inaccuracy,76.3
STOCKFISH_vs_AB.pgn,36,2,W,c4,e4,36,ok,84.7
STOCKFISH_vs_AB.pgn,37,0,W,g3,e4,32,ok,86.2
STOCKFISH_vs_AB.pgn,37,1,B,f6,d5,120,mistake,62.5
STOCKFISH_vs_AB.pgn,37,2,W,d4,Bg2,21,ok,90.5
STOCKFISH_vs_AB.pgn,38,0,W,b4,e4,76,inaccuracy,72.5
STOCKFISH_vs_AB.pgn,38,1,B,Nf6,e5,7,ok,96.6
STOCKFISH_vs_AB.pgn,38,2,W,a3,Nf3,12,ok,94.3
STOCKFISH_vs_AB.pgn,39,0,W,f3,e4,91,inaccuracy,68.7
STOCKFISH_vs_AB.pgn,39,1,B,h5,e5,45,ok,81.6
STOCKFISH_vs_AB.pgn,39,2,W,c3,f4,8,ok,96.2
AB_vs_STOCKFISH.pgn,40,0,W,a4,e4,80,inaccuracy,71.4
AB_vs_STOCKFISH.pgn,40,1,B,e5,e5,19,ok,91.3
AB_vs_STOCKFISH.pgn,41,0,W,e3,e4,11,ok,94.8
AB_vs_STOCKFISH.pgn,41,1,B,Nf6,d5,3,ok,98.5
AB_vs_STOCKFISH.pgn,42,0,W,Nf3,e4,10,ok,95.2
AB_vs_STOCKFISH.pgn,42,1,B,h5,d5,149,mistake,57.3
AB_vs_STOCKFISH.pgn,43,0,W,a3,e4,79,inaccuracy,71.7
AB_vs_STOCKFISH.pgn,43,1,B,g6,e5,40,ok,83.3
AB_vs_STOCKFISH.pgn,44,0,W,g3,e4,30,ok,87.0
AB_vs_STOCKFISH.pgn,44,1,B,b5,d5,126,mistake,61.3
AB_vs_STOCKFISH.pgn,45,0,W,d4,e4,11,ok,94.8
AB_vs_STOCKFISH.pgn,45,1,B,e6,Nf6,21,ok,90.5
AB_vs_STOCKFISH.pgn,46,0,W,g4,e4,164,mistake,54.9
AB_vs_STOCKFISH.pgn,46,1,B,a6,d5,59,inaccuracy,77.2
AB_vs_STOCKFISH.pgn,47,0,W,g4,e4,143,mistake,58.3
AB_vs_STOCKFISH.pgn,47,1,B,Nf6,d5,105,mistake,65.6
AB_vs_STOCKFISH.pgn,48,0,W,a3,e4,60,inaccuracy,76.9
AB_vs_STOCKFISH.pgn,48,1,B,g5,e5,165,mistake,54.8
AB_vs_STOCKFISH.pgn,49,0,W,a4,e4,69,inaccuracy,74.3
AB_vs_STOCKFISH.pgn,49,1,B,f6,e5,111,mistake,64.3
STOCKFISH_vs_AB.pgn,50,0,W,c4,e4,82,inaccuracy,70.9
STOCKFISH_vs_AB.pgn,50,1,B,d5,e5,88,inaccuracy,69.4
STOCKFISH_vs_AB.pgn,50,2,W,Qa4+,cxd5,162,mistake,55.2
STOCKFISH_vs_AB.pgn,51,0,W,g4,e4,149,mistake,57.3
STOCKFISH_vs_AB.pgn,51,1,B,Nh6,d5,147,mistake,57.6
STOCKFISH_vs_AB.pgn,51,2,W,e4,h3,89,inaccuracy,69.2
STOCKFISH_vs_AB.pgn,52,0,W,a4,e4,69,inaccuracy,74.3
STOCKFISH_vs_AB.pgn,52,1,B,Na6,e5,135,mistake,59.7
STOCKFISH_vs_AB.pgn,52,2,W,d4,e4,75,inaccuracy,72.7
STOCKFISH_vs_AB.pgn,53,0,W,Nf3,e4,11,ok,94.8
STOCKFISH_vs_AB.pgn,53,1,B,h6,d5,95,inaccuracy,67.8
STOCKFISH_vs_AB.pgn,53,2,W,c4,e4,16,ok,92.6
STOCKFISH_vs_AB.pgn,54,0,W,e3,e4,15,ok,93.0
STOCKFISH_vs_AB.pgn,54,1,B,c5,d5,13,ok,93.9
STOCKFISH_vs_AB.pgn,54,2,W,d4,d4,0,ok,100.0
STOCKFISH_vs_AB.pgn,55,0,W,d4,e4,9,ok,95.7
STOCKFISH_vs_AB.pgn,55,1,B,Nc6,d5,85,inaccuracy,70.2
STOCKFISH_vs_AB.pgn,55,2,W,d5,d5,25,ok,88.9
STOCKFISH_vs_AB.pgn,56,0,W,Na3,e4,107,mistake,65.1
STOCKFISH_vs_AB.pgn,56,1,B,a6,e5,41,ok,83.0
STOCKFISH_vs_AB.pgn,56,2,W,d4,Nf3,2,ok,99.0
STOCKFISH_vs_AB.pgn,57,0,W,a3,e4,68,inaccuracy,74.6
STOCKFISH_vs_AB.pgn,57,1,B,a6,e5,45,ok,81.6
STOCKFISH_vs_AB.pgn,57,2,W,e3,e4,0,ok,100.0
STOCKFISH_vs_AB.pgn,58,0,W,g4,e4,154,mistake,56.5
STOCKFISH_vs_AB.pgn,58,1,B,f6,d5,125,mistake,61.5
STOCKFISH_vs_AB.pgn,58,2,W,Bg2,Bg2,11,ok,94.8
STOCKFISH_vs_AB.pgn,59,0,W,Nc3,e4,35,ok,85.1
STOCKFISH_vs_AB.pgn,59,1,B,a6,d5,52,inaccuracy,79.4
STOCKFISH_vs_AB.pgn,59,2,W,a3,e4,55,inaccuracy,78.4
PUTC_vs_STOCKFISH.pgn,60,0,W,Nh3,e4,105,mistake,65.6
PUTC_vs_STOCKFISH.pgn,60,1,B,b6,d5,91,inaccuracy,68.7
PUTC_vs_STOCKFISH.pgn,60,2,W,Ng5,e4,60,inaccuracy,76.9
PUTC_vs_STOCKFISH.pgn,60,3,B,d5,e5,37,ok,84.4
PUTC_vs_STOCKFISH.pgn,60,4,W,Nxf7,d4,315,blunder,38.8
PUTC_vs_STOCKFISH.pgn,60,5,B,Kxf7,Kxf7,0,ok,100.0
PUTC_vs_STOCKFISH.pgn,60,6,W,g4,e4,157,mistake,56.0
PUTC_vs_STOCKFISH.pgn,60,7,B,Ke8,e5,52,inaccuracy,79.4
PUTC_vs_STOCKFISH.pgn,60,8,W,Bg2,d4,81,inaccuracy,71.2
PUTC_vs_STOCKFISH.pgn,60,9,B,e5,Bxg4,236,blunder,45.9
PUTC_vs_STOCKFISH.pgn,60,10,W,Bxd5,d4,316,blunder,38.8
PUTC_vs_STOCKFISH.pgn,60,11,B,c6,Qxd5,371,blunder,35.0
PUTC_vs_STOCKFISH.pgn,60,12,W,Bxg8,Bf3,79,inaccuracy,71.7
PUTC_vs_STOCKFISH.pgn,60,13,B,h5,Rxg8,389,blunder,34.0
PUTC_vs_STOCKFISH.pgn,60,14,W,b3,Bb3,385,blunder,34.2
PUTC_vs_STOCKFISH.pgn,60,15,B,Qd4,Rxg8,202,blunder,49.8
PUTC_vs_STOCKFISH.pgn,60,16,W,a3,Bc4,146,mistake,57.8
PUTC_vs_STOCKFISH.pgn,60,17,B,Qxa1,Rxg8,15,ok,93.0
PUTC_vs_STOCKFISH.pgn,60,18,W,gxh5,Nc3,37,ok,84.4
PUTC_vs_STOCKFISH.pgn,60,19,B,Rxg8,Qd4,11,ok,94.8
PUTC_vs_STOCKFISH.pgn,60,20,W,Rg1,Nc3,80,inaccuracy,71.4
PUTC_vs_STOCKFISH.pgn,60,21,B,Qxb1,Qxb1,76,inaccuracy,72.5
PUTC_vs_STOCKFISH.pgn,60,22,W,Rxg7,h6,191,mistake,51.2
PUTC_vs_STOCKFISH.pgn,60,23,B,Bxg7,Bxg7,0,ok,100.0
PUTC_vs_STOCKFISH.pgn,61,0,W,d4,e4,13,ok,93.9
PUTC_vs_STOCKFISH.pgn,61,1,B,f5,d5,43,ok,82.3
PUTC_vs_STOCKFISH.pgn,61,2,W,Qd3,c4,55,inaccuracy,78.4
PUTC_vs_STOCKFISH.pgn,61,3,B,d5,e6,7,ok,96.6
PUTC_vs_STOCKFISH.pgn,61,4,W,Qxf5,c4,593,blunder,25.2
PUTC_vs_STOCKFISH.pgn,61,5,B,g6,Bxf5,785,blunder,20.3
PUTC_vs_STOCKFISH.pgn,61,6,W,Qe4,Qd3,776,blunder,20.5
PUTC_vs_STOCKFISH.pgn,61,7,B,dxe4,dxe4,18,ok,91.7
PUTC_vs_STOCKFISH.pgn,61,8,W,Nf3,Nc3,56,inaccuracy,78.1
PUTC_vs_STOCKFISH.pgn,61,9,B,exf3,exf3,16,ok,92.6
PUTC_vs_STOCKFISH.pgn,62,0,W,d3,e4,58,inaccuracy,77.5
PUTC_vs_STOCKFISH.pgn,62,1,B,d5,d5,0,ok,100.0
PUTC_vs_STOCKFISH.pgn,62,2,W,Qd2,Nf3,77,inaccuracy,72.2
PUTC_vs_STOCKFISH.pgn,62,3,B,e5,e5,3,ok,98.5
PUTC_vs_STOCKFISH.pgn,62,4,W,Qh6,c4,619,blunder,24.4
PUTC_vs_STOCKFISH.pgn,62,5,B,Nxh6,Nxh6,19,ok,91.3
PUTC_vs_STOCKFISH.pgn,62,6,W,Bxh6,g3,42,ok,82.6
PUTC_vs_STOCKFISH.pgn,62,7,B,gxh6,gxh6,36,ok,84.7
PUTC_vs_STOCKFISH.pgn,62,8,W,Nh3,e3,30,ok,87.0
PUTC_vs_STOCKFISH.pgn,62,9,B,Bxh3,Bxh3,0,ok,100.0
PUTC_vs_STOCKFISH.pgn,63,0,W,f4,e4,52,inaccuracy,79.4
PUTC_vs_STOCKFISH.pgn,63,1,B,b5,d5,70,inaccuracy,74.1
PUTC_vs_STOCKFISH.pgn,63,2,W,g3,e4,52,inaccuracy,79.4
PUTC_vs_STOCKFISH.pgn,63,3,B,e6,Bb7,13,ok,93.9
PUTC_vs_STOCKFISH.pgn,63,4,W,Bg2,e4,0,ok,100.0
PUTC_vs_STOCKFISH.pgn,63,5,B,Nc6,d5,70,inaccuracy,74.1
PUTC_vs_STOCKFISH.pgn,63,6,W,Bd5,d3,692,blunder,22.4
PUTC_vs_STOCKFISH.pgn,63,7,B,Nge7,exd5,668,blunder,23.0
PUTC_vs_STOCKFISH.pgn,63,8,W,Bxe6,Bg2,523,blunder,27.7
PUTC_vs_STOCKFISH.pgn,63,9,B,dxe6,dxe6,23,ok,89.7
PUTC_vs_STOCKFISH.pgn,63,10,W,Nh3,c3,108,mistake,64.9
PUTC_vs_STOCKFISH.pgn,63,11,B,h6,Rb8,63,inaccuracy,76.0
PUTC_vs_STOCKFISH.pgn,63,12,W,f5,Nf2,179,mistake,52.8
PUTC_vs_STOCKFISH.pgn,63,13,B,Nxf5,Nxf5,0,ok,100.0
PUTC_vs_STOCKFISH.pgn,63,14,W,Ng5,e4,148,mistake,57.5
PUTC_vs_STOCKFISH.pgn,63,15,B,a5,hxg5,238,blunder,45.7
PUTC_vs_STOCKFISH.pgn,63,16,W,Nxf7,Nxf7,0,ok,100.0
PUTC_vs_STOCKFISH.pgn,63,17,B,Qf6,Kxf7,393,blunder,33.7
PUTC_vs_STOCKFISH.pgn,63,18,W,Nxh8,Nxh8,0,ok,100.0
PUTC_vs_STOCKFISH.pgn,63,19,B,Bd6,g6,72,inaccuracy,73.5
PUTC_vs_STOCKFISH.pgn,63,20,W,b3,Rf1,340,blunder,37.0
PUTC_vs_STOCKFISH.pgn,63,21,B,Ba6,Nxg3,136,mistake,59.5
PUTC_vs_STOCKFISH.pgn,63,22,W,a3,Bb2,60,inaccuracy,76.9
PUTC_vs_STOCKFISH.pgn,63,23,B,Qxa1,Qxa1,45,ok,81.6
PUTC_vs_STOCKFISH.pgn,63,24,W,Nf7,Rf1,79,inaccuracy,71.7
PUTC_vs_STOCKFISH.pgn,63,25,B,Kxf7,Kxf7,7,ok,96.6
PUTC_vs_STOCKFISH.pgn,63,26,W,Rf1,g4,107,mistake,65.1
PUTC_vs_STOCKFISH.pgn,63,27,B,Qxb1,Kg8,6,ok,97.1
PUTC_vs_STOCKFISH.pgn,64,0,W,c3,e4,43,ok,82.3
PUTC_vs_STOCKFISH.pgn,64,1,B,c5,e5,40,ok,83.3
PUTC_vs_STOCKFISH.pgn,64,2,W,Qa4,e4,68,inaccuracy,74.6
PUTC_vs_STOCKFISH.pgn,64,3,B,Nf6,Nc6,26,ok,88.5
PUTC_vs_STOCKFISH.pgn,64,4,W,Qxa7,e4,675,blunder,22.9
PUTC_vs_STOCKFISH.pgn,64,5,B,e5,Rxa7,1082,blunder,15.6
PUTC_vs_STOCKFISH.pgn,64,6,W,Qxb7,Qxa8,1006,blunder,16.6
PUTC_vs_STOCKFISH.pgn,64,7,B,Bxb7,Bxb7,0,ok,100.0
PUTC_vs_STOCKFISH.pgn,64,8,W,Nh3,Na3,81,inaccuracy,71.2
PUTC_vs_STOCKFISH.pgn,64,9,B,Nc6,d5,96,inaccuracy,67.6
PUTC_vs_STOCKFISH.pgn,65,0,W,d4,e4,20,ok,90.9
PUTC_vs_STOCKFISH.pgn,65,1,B,c5,Nf6,35,ok,85.1
PUTC_vs_STOCKFISH.pgn,65,2,W,dxc5,d5,20,ok,90.9
PUTC_vs_STOCKFISH.pgn,65,3,B,Na6,e6,73,inaccuracy,73.3
PUTC_vs_STOCKFISH.pgn,65,4,W,g3,e4,81,inaccuracy,71.2
PUTC_vs_STOCKFISH.pgn,65,5,B,Nf6,e6,67,inaccuracy,74.9
PUTC_vs_STOCKFISH.pgn,65,6,W,h3,Nc3,117,mistake,63.1
PUTC_vs_STOCKFISH.pgn,65,7,B,Nxc5,e6,22,ok,90.1
PUTC_vs_STOCKFISH.pgn,65,8,W,Qd5,Bg2,671,blunder,23.0
PUTC_vs_STOCKFISH.pgn,65,9,B,Nxd5,Nxd5,62,inaccuracy,76.3
PUTC_vs_STOCKFISH.pgn,65,10,W,Rh2,c3,32,ok,86.2
PUTC_vs_STOCKFISH.pgn,65,11,B,Nd3+,Nb4,162,mistake,55.2
PUTC_vs_STOCKFISH.pgn,66,0,W,Nh3,e4,106,mistake,65.4
PUTC_vs_STOCKFISH.pgn,66,1,B,g5,d5,255,blunder,44.0
PUTC_vs_STOCKFISH.pgn,66,2,W,Nxg5,Nxg5,13,ok,93.9
PUTC_vs_STOCKFISH.pgn,66,3,B,e6,Nc6,81,inaccuracy,71.2
PUTC_vs_STOCKFISH.pgn,66,4,W,Nxf7,Nf3,218,blunder,47.8
PUTC_vs_STOCKFISH.pgn,66,5,B,Kxf7,Kxf7,49,ok,80.3
PUTC_vs_STOCKFISH.pgn,66,6,W,Rg1,e4,200,blunder,50.0
PUTC_vs_STOCKFISH.pgn,66,7,B,Qh4,Qh4,15,ok,93.0
PUTC_vs_STOCKFISH.pgn,66,8,W,b3,h3,73,inaccuracy,73.3
PUTC_vs_STOCKFISH.pgn,66,9,B,Qxh2,Bg7,10,ok,95.2
PUTC_vs_STOCKFISH.pgn,66,10,W,Rh1,Bb2,108,mistake,64.9
PUTC_vs_STOCKFISH.pgn,66,11,B,Qxh1,Qxh1,0,ok,100.0
PUTC_vs_STOCKFISH.pgn,66,12,W,Ba3,e3,134,mistake,59.9
PUTC_vs_STOCKFISH.pgn,66,13,B,Qh4,Nf6,88,inaccuracy,69.4
PUTC_vs_STOCKFISH.pgn,67,0,W,f3,e4,140,mistake,58.8
PUTC_vs_STOCKFISH.pgn,67,1,B,Nc6,e5,20,ok,90.9
PUTC_vs_STOCKFISH.pgn,67,2,W,Nh3,f4,43,ok,82.3
PUTC_vs_STOCKFISH.pgn,67,3,B,e6,d5,47,ok,81.0
PUTC_vs_STOCKFISH.pgn,67,4,W,Ng5,Nf2,455,blunder,30.5
PUTC_vs_STOCKFISH.pgn,67,5,B,Qxg5,Qxg5,0,ok,100.0
PUTC_vs_STOCKFISH.pgn,67,6,W,Nc3,Nc3,47,ok,81.0
PUTC_vs_STOCKFISH.pgn,67,7,B,a6,d5,0,ok,100.0
PUTC_vs_STOCKFISH.pgn,67,8,W,Nd5,e4,212,blunder,48.5
PUTC_vs_STOCKFISH.pgn,67,9,B,Qd8,Qxd5,0,ok,100.0
PUTC_vs_STOCKFISH.pgn,67,10,W,Nxc7+,e4,72,inaccuracy,73.5
PUTC_vs_STOCKFISH.pgn,67,11,B,Qxc7,Qxc7,0,ok,100.0
PUTC_vs_STOCKFISH.pgn,67,12,W,Rb1,g4,47,ok,81.0
PUTC_vs_STOCKFISH.pgn,67,13,B,h5,d5,9,ok,95.7
PUTC_vs_STOCKFISH.pgn,67,14,W,f4,a3,36,ok,84.7
PUTC_vs_STOCKFISH.pgn,67,15,B,d5,Qxf4,66,inaccuracy,75.2
PUTC_vs_STOCKFISH.pgn,67,16,W,Ra1,d4,111,mistake,64.3
PUTC_vs_STOCKFISH.pgn,67,17,B,Qxf4,Qxf4,62,inaccuracy,76.3
PUTC_vs_STOCKFISH.pgn,67,18,W,h3,g3,99208,blunder,0.2
PUTC_vs_STOCKFISH.pgn,67,19,B,Qh4+,Qg3#,0,ok,100.0
PUTC_vs_STOCKFISH.pgn,68,0,W,b4,e4,75,inaccuracy,72.7
PUTC_vs_STOCKFISH.pgn,68,1,B,c5,e5,119,mistake,62.7
PUTC_vs_STOCKFISH.pgn,68,2,W,bxc5,bxc5,0,ok,100.0
PUTC_vs_STOCKFISH.pgn,68,3,B,Nf6,e5,0,ok,100.0
PUTC_vs_STOCKFISH.pgn,68,4,W,Bb2,d4,72,inaccuracy,73.5
PUTC_vs_STOCKFISH.pgn,68,5,B,b6,e6,63,inaccuracy,76.0
PUTC_vs_STOCKFISH.pgn,68,6,W,cxb6,Bxf6,16,ok,92.6
PUTC_vs_STOCKFISH.pgn,68,7,B,axb6,Qxb6,40,ok,83.3
PUTC_vs_STOCKFISH.pgn,68,8,W,Be5,e3,66,inaccuracy,75.2
PUTC_vs_STOCKFISH.pgn,68,9,B,Nc6,e6,0,ok,100.0
PUTC_vs_STOCKFISH.pgn,68,10,W,Bb8,Bxf6,616,blunder,24.5
PUTC_vs_STOCKFISH.pgn,68,11,B,Rxb8,Rxb8,0,ok,100.0
PUTC_vs_STOCKFISH.pgn,68,12,W,Nf3,Nc3,39,ok,83.7
PUTC_vs_STOCKFISH.pgn,68,13,B,e6,e5,0,ok,100.0
PUTC_vs_STOCKFISH.pgn,68,14,W,Ng5,a4,84,inaccuracy,70.4
PUTC_vs_STOCKFISH.pgn,68,15,B,Na5,h6,117,mistake,63.1
PUTC_vs_STOCKFISH.pgn,68,16,W,Nxe6,Nf3,27,ok,88.1
PUTC_vs_STOCKFISH.pgn,68,17,B,fxe6,dxe6,72,inaccuracy,73.5
PUTC_vs_STOCKFISH.pgn,68,18,W,h3,e3,9,ok,95.7
PUTC_vs_STOCKFISH.pgn,68,19,B,Nc6,Be7,53,inaccuracy,79.1
PUTC_vs_STOCKFISH.pgn,68,20,W,Nc3,Nc3,90,inaccuracy,69.0
PUTC_vs_STOCKFISH.pgn,68,21,B,Nb4,Be7,132,mistake,60.2
PUTC_vs_STOCKFISH.pgn,68,22,W,Nd5,e3,241,blunder,45.4
PUTC_vs_STOCKFISH.pgn,68,23,B,Nxc2+,Nbxd5,97,inaccuracy,67.3
PUTC_vs_STOCKFISH.pgn,68,24,W,Qxc2,Qxc2,0,ok,100.0
PUTC_vs_STOCKFISH.pgn,68,25,B,Nxd5,Nxd5,0,ok,100.0
PUTC_vs_STOCKFISH.pgn,68,26,W,Qxc8,e4,193,mistake,50.9
PUTC_vs_STOCKFISH.pgn,68,27,B,Ra8,Qxc8,402,blunder,33.2
PUTC_vs_STOCKFISH.pgn,68,28,W,Qxa8,Qxd8+,79,inaccuracy,71.7
PUTC_vs_STOCKFISH.pgn,68,29,B,Qxa8,Qxa8,21,ok,90.5
PUTC_vs_STOCKFISH.pgn,68,30,W,Rh2,e3,120,mistake,62.5
PUTC_vs_STOCKFISH.pgn,68,31,B,Qa5,Qa5,0,ok,100.0
PUTC_vs_STOCKFISH.pgn,69,0,W,Na3,e4,106,mistake,65.4
PUTC_vs_STOCKFISH.pgn,69,1,B,b5,e5,202,blunder,49.8
PUTC_vs_STOCKFISH.pgn,69,2,W,Nxb5,Nxb5,0,ok,100.0
PUTC_vs_STOCKFISH.pgn,69,3,B,Nf6,e5,6,ok,97.1
PUTC_vs_STOCKFISH.pgn,69,4,W,Nxa7,e3,457,blunder,30.4
PUTC_vs_STOCKFISH.pgn,69,5,B,Rxa7,Rxa7,4,ok,98.0
PUTC_vs_STOCKFISH.pgn,69,6,W,a4,Nf3,42,ok,82.6
PUTC_vs_STOCKFISH.pgn,69,7,B,d5,e5,40,ok,83.3
PUTC_vs_STOCKFISH.pgn,69,8,W,g3,Nf3,87,inaccuracy,69.7
PUTC_vs_STOCKFISH.pgn,69,9,B,e6,e5,14,ok,93.5
PUTC_vs_STOCKFISH.pgn,69,10,W,Nh3,d3,89,inaccuracy,69.2
PUTC_vs_STOCKFISH.pgn,69,11,B,e5,c5,12,ok,94.3
