pgn,white,black,result,moves,white_acpl,black_acpl,white_best_pct,black_best_pct,white_inacc,white_mistakes,white_blunders,black_inacc,black_mistakes,black_blunders
PUTC_vs_STOCKFISH.pgn,PUTC,STOCKFISH,0-1,42,120.3,88.3,4.8,33.3,7,6,4,6,3,4
PUTC_vs_STOCKFISH.pgn,PUTC,STOCKFISH,0-1,16,123.8,49.1,0.0,25.0,1,0,3,0,1,1
PUTC_vs_STOCKFISH.pgn,PUTC,STOCKFISH,0-1,52,115.6,67.5,7.7,15.4,12,6,4,7,5,1
PUTC_vs_STOCKFISH.pgn,PUTC,STOCKFISH,0-1,28,194.6,133.4,0.0,0.0,3,3,6,4,3,4
STOCKFISH_vs_PUTC.pgn,STOCKFISH,PUTC,1-0,15,24.0,126.3,50.0,0.0,2,0,0,2,3,1
STOCKFISH_vs_PUTC.pgn,STOCKFISH,PUTC,1-0,27,14325.2,118.5,42.9,23.1,5,2,1,2,3,3
STOCKFISH_vs_PUTC.pgn,STOCKFISH,PUTC,1-0,33,11830.4,138.5,17.6,12.5,6,3,2,4,5,4
STOCKFISH_vs_PUTC.pgn,STOCKFISH,PUTC,1-0,35,16653.2,11758.6,27.8,5.9,3,2,2,6,4,4
STOCKFISH_vs_PUTC.pgn,STOCKFISH,PUTC,1-0,25,15429.8,8353.8,15.4,33.3,2,1,2,2,2,4
STOCKFISH_vs_PUTC.pgn,STOCKFISH,PUTC,1-0,19,20037.5,11143.3,10.0,0.0,4,0,1,2,3,2
STOCKFISH_vs_PUTC.pgn,STOCKFISH,PUTC,1-0,18,43.1,125.2,44.4,0.0,4,0,0,2,4,1
STOCKFISH_vs_PUTC.pgn,STOCKFISH,PUTC,1-0,29,54.6,105.1,13.3,14.3,5,3,0,7,3,2
STOCKFISH_vs_PUTC.pgn,STOCKFISH,PUTC,1-0,33,11802.6,6294.1,11.8,0.0,4,2,1,7,5,1
STOCKFISH_vs_PUTC.pgn,STOCKFISH,PUTC,1-0,21,38.3,117.5,18.2,0.0,2,1,0,2,4,1
PUTC_vs_STOCKFISH.pgn,PUTC,STOCKFISH,0-1,20,110.5,46.2,20.0,20.0,4,0,2,3,1,0
PUTC_vs_STOCKFISH.pgn,PUTC,STOCKFISH,0-1,38,136.2,10612.9,36.8,26.3,2,2,6,3,4,4
PUTC_vs_STOCKFISH.pgn,PUTC,STOCKFISH,0-1,8,231.0,32.8,0.0,25.0,3,0,1,1,0,0
PUTC_vs_STOCKFISH.pgn,PUTC,STOCKFISH,0-1,22,149.4,76.5,9.1,36.4,1,5,2,2,3,1
PUTC_vs_STOCKFISH.pgn,PUTC,STOCKFISH,0-1,22,118.3,53.5,9.1,36.4,1,8,0,3,2,0
PUTC_vs_STOCKFISH.pgn,PUTC,STOCKFISH,0-1,18,108.9,31.0,0.0,44.4,4,2,1,3,0,0
PUTC_vs_STOCKFISH.pgn,PUTC,STOCKFISH,0-1,36,5635.2,11164.6,11.1,27.8,3,9,3,1,3,2
PUTC_vs_STOCKFISH.pgn,PUTC,STOCKFISH,0-1,32,127.8,58.2,0.0,31.2,5,2,4,1,2,1
